IP,HTTP,HTTPS,Status
100.64.0.102,Timeout,Timeout,Timeout
100.64.0.103,Timeout,Timeout,Timeout
100.64.0.104,OK (200),Erro de conexão,OK
100.64.0.108,Timeout,Timeout,Timeout
100.64.0.11,Timeout,Timeout,Timeout
100.64.0.111,Timeout,Timeout,Timeout
100.64.0.112,OK (200),Erro de conexão,OK
100.64.0.113,OK (200),Erro de conexão,OK
100.64.0.117,OK (200),Erro de conexão,OK
100.64.0.118,OK (200),Erro de conexão,OK
100.64.0.120,Timeout,Timeout,Timeout
100.64.0.121,Timeout,Timeout,Timeout
100.64.0.123,Timeout,Timeout,Timeout
100.64.0.125,Erro de conexão,OK (200),OK
100.64.0.128,OK (200),Erro de conexão,OK
100.64.0.13,Timeout,Timeout,Timeout
100.64.0.130,Timeout,Timeout,Timeout
100.64.0.131,Erro de conexão,Erro de conexão,Error
100.64.0.133,Timeout,Timeout,Timeout
100.64.0.134,Timeout,Timeout,Timeout
100.64.0.138,Timeout,Timeout,Timeout
100.64.0.139,Timeout,Timeout,Timeout
100.64.0.14,OK (200),Erro de conexão,OK
100.64.0.140,OK (200),Erro de conexão,OK
100.64.0.142,OK (200),Erro de conexão,OK
100.64.0.143,OK (200),Erro de conexão,OK
100.64.0.144,OK (200),Erro de conexão,OK
100.64.0.145,OK (200),Erro de conexão,OK
100.64.0.146,OK (302),Erro de conexão,OK
100.64.0.147,Timeout,Timeout,Timeout
100.64.0.148,OK (200),Erro de conexão,OK
100.64.0.15,Timeout,Timeout,Timeout
100.64.0.151,OK (200),Erro de conexão,OK
100.64.0.153,Timeout,Timeout,Timeout
100.64.0.155,Timeout,Timeout,Timeout
100.64.0.158,Erro de conexão,Erro de conexão,Error
100.64.0.159,Timeout,Timeout,Timeout
100.64.0.160,Timeout,Timeout,Timeout
100.64.0.161,Timeout,Timeout,Timeout
100.64.0.162,Erro de conexão,Erro de conexão,Error
100.64.0.164,OK (200),Erro de conexão,OK
100.64.0.165,OK (200),Erro de conexão,OK
100.64.0.166,OK (200),Erro de conexão,OK
100.64.0.167,Timeout,Timeout,Timeout
100.64.0.168,Erro de conexão,Erro de conexão,Error
100.64.0.17,Timeout,Timeout,Timeout
100.64.0.172,Timeout,Timeout,Timeout
100.64.0.173,Timeout,Timeout,Timeout
100.64.0.174,OK (302),Erro de conexão,OK
100.64.0.176,OK (200),Erro de conexão,OK
100.64.0.177,Timeout,Timeout,Timeout
100.64.0.179,Timeout,Timeout,Timeout
100.64.0.180,Timeout,Timeout,Timeout
100.64.0.182,OK (200),Erro de conexão,OK
100.64.0.189,OK (200),Erro de conexão,OK
100.64.0.190,OK (200),Erro de conexão,OK
100.64.0.193,OK (200),Erro de conexão,OK
100.64.0.194,Timeout,Timeout,Timeout
100.64.0.196,OK (200),Erro de conexão,OK
100.64.0.2,Timeout,Timeout,Timeout
100.64.0.203,OK (200),Erro de conexão,OK
100.64.0.205,OK (200),Erro de conexão,OK
100.64.0.208,OK (200),Erro de conexão,OK
100.64.0.209,Timeout,Timeout,Timeout
100.64.0.21,Timeout,Timeout,Timeout
100.64.0.210,OK (200),Erro de conexão,OK
100.64.0.211,Timeout,Timeout,Timeout
100.64.0.212,Timeout,Timeout,Timeout
100.64.0.213,Timeout,Timeout,Timeout
100.64.0.215,Timeout,Timeout,Timeout
100.64.0.216,Timeout,Timeout,Timeout
100.64.0.218,OK (200),Erro de conexão,OK
100.64.0.22,OK (302),Erro de conexão,OK
100.64.0.220,Timeout,Timeout,Timeout
100.64.0.222,Timeout,Timeout,Timeout
100.64.0.223,Timeout,Timeout,Timeout
100.64.0.224,OK (302),Erro de conexão,OK
100.64.0.225,Timeout,Timeout,Timeout
100.64.0.228,Timeout,Timeout,Timeout
100.64.0.229,OK (200),Erro de conexão,OK
100.64.0.23,Timeout,Timeout,Timeout
100.64.0.230,OK (200),Erro de conexão,OK
100.64.0.231,OK (200),Erro de conexão,OK
100.64.0.232,OK (200),Erro de conexão,OK
100.64.0.236,Timeout,Timeout,Timeout
100.64.0.237,OK (200),Erro de conexão,OK
100.64.0.24,OK (200),Erro de conexão,OK
100.64.0.241,Timeout,Timeout,Timeout
100.64.0.243,Timeout,Timeout,Timeout
100.64.0.246,OK (200),Erro de conexão,OK
100.64.0.248,Timeout,Timeout,Timeout
100.64.0.249,OK (302),Erro de conexão,OK
100.64.0.25,Erro de conexão,Erro de conexão,Error
100.64.0.250,Timeout,Timeout,Timeout
100.64.0.253,OK (200),Erro de conexão,OK
100.64.0.254,Timeout,Timeout,Timeout
100.64.0.28,OK (200),Erro de conexão,OK
100.64.0.29,Timeout,Timeout,Timeout
100.64.0.31,OK (200),Erro de conexão,OK
100.64.0.33,Timeout,Timeout,Timeout
100.64.0.35,OK (302),Erro de conexão,OK
100.64.0.37,Timeout,Timeout,Timeout
100.64.0.38,Timeout,Timeout,Timeout
100.64.0.39,OK (200),Erro de conexão,OK
100.64.0.4,Timeout,Timeout,Timeout
100.64.0.45,Erro de conexão,Erro de conexão,Error
100.64.0.46,Erro de conexão,Erro de conexão,Error
100.64.0.47,Timeout,Timeout,Timeout
100.64.0.5,OK (200),Erro de conexão,OK
